name,full_path,dir,date,time,size,comment
"batch_clip.bat","D:\batch_clip.bat","D:\","12/14/2025","01:28",112,"Batch program discovered on D:"
"clip.bat","D:\clip.bat","D:\","12/14/2025","01:37",1245,"Batch program discovered on D:"
"clip_v1.bat","D:\clip_v1.bat","D:\","12/14/2025","01:42",2266,"Batch program discovered on D:"
"drive_info.bat","D:\drive_info.bat","D:\","12/14/2025","01:43",1987,"Batch program discovered on D:"
"tmp.bat","D:\tmp.bat","D:\","12/14/2025","01:51",1577,"Batch program discovered on D:"
"tmp1.bat","D:\tmp1.bat","D:\","12/14/2025","01:49",367,"Batch program discovered on D:"
"mscp.bat","D:\mscopilot\mscp.bat","D:\mscopilot\","12/13/2025","09:11",561,"Batch program discovered on D:"
"mscp.bat","D:\mscopilot\MSCP\mscp.bat","D:\mscopilot\MSCP\","12/13/2025","09:11",561,"Batch program discovered on D:"
"comm.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\comm.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\","12/12/2025","08:34",6579,"Batch program discovered on D:"
"COMWRAP.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\COMWRAP.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\","12/12/2025","08:33",655,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","09:52",1369,"Batch program discovered on D:"
"build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","05:06",179,"Batch program discovered on D:"
"verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","05:07",267,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","09:11",870,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\","12/03/2025","09:52",1369,"Batch program discovered on D:"
"build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\","12/03/2025","05:06",179,"Batch program discovered on D:"
"verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\","12/03/2025","05:07",267,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\pellesC_engine\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\Current projects lite\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","09:11",870,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",1369,"Batch program discovered on D:"
"build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",179,"Batch program discovered on D:"
"verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\","12/05/2025","03:20",267,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/05/2025","03:20",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\downloads\full_symbolic_loader\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/05/2025","03:20",870,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","09:52",1369,"Batch program discovered on D:"
"build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\build_windows.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","05:06",179,"Batch program discovered on D:"
"verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","05:07",267,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","09:11",870,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
